,N_est,lower,upper,decade,region_name,model_type,count_cps
1670,3.5102399911912534,2.882783120185426,4.218743208785828,220,Latin World,base_model,1
1671,3.4345326411949246,2.827672828140009,4.112653132466768,230,Latin World,base_model,1
1672,40.35361260406493,33.32665170144926,48.26862716719791,240,Latin World,base_model,12
1673,6.5907632655834405,5.453953891557591,7.891740493691069,250,Latin World,base_model,2
1674,3.1745751771431667,2.6285381781378425,3.7855261996090266,270,Latin World,base_model,1
1675,31.21637136991894,25.850897912222816,37.2104160681878,280,Latin World,base_model,10
1676,3.0739269803661733,2.544672776090673,3.6658169875261275,290,Latin World,base_model,1
1677,12.126441080823932,10.020884023187719,14.462763403206543,300,Latin World,base_model,4
1678,2.9948451743646824,2.469355462549201,3.5771315438525404,310,Latin World,base_model,1
1679,23.35618301951205,18.993315746605962,28.146505777938692,340,Latin World,base_model,8
1680,2.906721331662474,2.3544549832698882,3.5130494515383677,350,Latin World,base_model,1
1681,13.502396249779865,10.687842894338061,16.59170876742224,360,Latin World,base_model,5
1682,8.727022426598396,6.983567422653067,10.65703806372067,380,Latin World,base_model,3
1683,8.77387870728257,6.992834698491039,10.722031511634096,390,Latin World,base_model,3
1684,25.536806268747963,20.106616472861234,31.502674500342525,400,Latin World,base_model,9
1685,2.981247223679049,2.3673818575481715,3.6585604549118784,410,Latin World,base_model,1
1686,9.068187856043167,7.188424849191298,11.167499979957263,420,Latin World,base_model,3
1687,51.23651637789688,40.0489499698648,63.760253699491756,440,Latin World,base_model,17
1688,6.549280941301349,5.1515026199061955,8.104673215517607,460,Latin World,base_model,2
1689,17.26022315818872,13.542663382705674,21.392331216704797,480,Latin World,base_model,5
1690,3.6638304186596944,2.869257114198755,4.556619866669964,500,Latin World,base_model,1
1691,6.565016819446435,4.9161501123708,8.418339151097415,510,Latin World,base_model,2
1692,3.9214086530541294,1.4048038588417116,6.797819931362653,-820,Greek World,base_model,1
1693,10.546451140746752,4.034339132272186,18.26142114808929,-800,Greek World,base_model,3
1694,11.02168634216483,5.811844903305932,17.457749006378315,-700,Greek World,base_model,2
1695,10.747930010430853,5.233069526817661,17.454827979662454,-680,Greek World,base_model,2
1696,18.534066291785685,10.085853609584658,28.881971114768383,-660,Greek World,base_model,3
1697,13.206044474798015,7.881208985356293,19.444792663958996,-620,Greek World,base_model,2
1698,74.18949081879319,47.078882116259734,105.4108732673943,-600,Greek World,base_model,11
1699,12.608355749932375,7.906476340885502,17.92831642680268,-590,Greek World,base_model,2
1700,12.821809353080477,8.559809395280753,17.545728513534904,-570,Greek World,base_model,2
1701,124.26207084635567,86.05683172505935,166.5874268525868,-560,Greek World,base_model,19
1702,13.022069119140596,9.184140776717356,17.188581284870157,-550,Greek World,base_model,2
1703,14.225725368438844,10.798251033350839,17.96495938245187,-530,Greek World,base_model,2
1704,149.47918349775946,115.03607642430545,186.84656243840982,-520,Greek World,base_model,21
1705,248.6329782232678,193.84644966105003,309.5889201462573,-500,Greek World,base_model,35
1706,20.99394851626358,16.317498517634583,26.154971872187936,-490,Greek World,base_model,3
1707,323.83944683134837,255.6772145573118,400.1355538571985,-460,Greek World,base_model,44
1708,43.29130546671263,33.94414973130988,53.65311282558304,-450,Greek World,base_model,6
1709,7.598915802829804,6.036803045347048,9.325742991754666,-440,Greek World,base_model,1
1710,52.53183988466233,41.618047562161514,64.59799857683285,-430,Greek World,base_model,7
1711,267.29335263414555,212.5033719857038,328.029668774245,-420,Greek World,base_model,35
1712,37.695780050277264,29.915784810536362,46.31116571121826,-410,Greek World,base_model,5
1713,254.8334331994044,203.73699354161133,311.8495995734013,-400,Greek World,base_model,33
1714,38.127114625107176,30.427213899511788,46.68422412875125,-390,Greek World,base_model,5
1715,14.734541700742847,11.664494611862427,18.145845913825628,-380,Greek World,base_model,2
1716,301.1073666835541,243.56493043472958,365.1100467752256,-360,Greek World,base_model,38
1717,22.976014326824036,18.429650480997175,27.978515093244148,-350,Greek World,base_model,3
1718,63.276153233204894,51.177925089183375,76.77284059554938,-340,Greek World,base_model,8
1719,56.546415712105286,45.85388043533494,68.64939530542922,-330,Greek World,base_model,7
1720,301.67071026350055,243.1092500552653,366.6941129148268,-320,Greek World,base_model,38
1721,48.015970217021795,38.614437018493916,58.43617861313898,-310,Greek World,base_model,6
1722,179.78512513073267,144.59997537966925,218.51708024509352,-300,Greek World,base_model,22
1723,49.60558886391342,39.82277310202986,60.433600612554024,-290,Greek World,base_model,6
1724,41.59854185018848,33.23778385237714,50.954723097690035,-280,Greek World,base_model,5
1725,41.86944588600035,33.227693649122465,51.56542661151509,-270,Greek World,base_model,5
1726,143.31247616408604,113.2589889157878,177.08558360951488,-260,Greek World,base_model,17
1727,8.488439167548885,6.664989998367801,10.537963489985103,-250,Greek World,base_model,1
1728,74.93823999893236,58.0528966347644,93.92632374527008,-240,Greek World,base_model,9
1729,8.610802192190746,6.658794123724765,10.783086770172842,-230,Greek World,base_model,1
1730,104.0956879763976,80.17545497870563,131.00990747622112,-220,Greek World,base_model,12
1731,95.87690051907516,72.97853460330305,121.76620738522367,-200,Greek World,base_model,11
1732,8.944223844622393,6.799536517364014,11.354795075211015,-180,Greek World,base_model,1
1733,44.06770006419146,33.20154960850355,56.17729775886927,-170,Greek World,base_model,5
1734,97.90930607840058,73.73242530033518,124.65891854459173,-160,Greek World,base_model,11
1735,27.4534121604498,20.858741962321847,34.75994812625761,-150,Greek World,base_model,3
1736,17.437031847962793,13.041897572597394,22.31423484569554,-140,Greek World,base_model,2
1737,9.284361631362795,7.075183809563954,11.731519618009496,-130,Greek World,base_model,1
1738,140.2234906751636,106.90449134112464,176.68333180979744,-120,Greek World,base_model,15
1739,17.819350635666314,13.382478251375476,22.636258755553218,-110,Greek World,base_model,2
1740,130.555023232575,99.59804706856022,164.36334884823577,-100,Greek World,base_model,14
1741,28.570064251286656,21.927546164874787,35.88321538608447,-90,Greek World,base_model,3
1742,19.149119851589578,14.725337746634187,24.048354637780356,-80,Greek World,base_model,2
1743,48.31428554133246,37.155501654179474,60.317982193262054,-60,Greek World,base_model,5
1744,48.4934635827445,37.22017646922824,60.69597887839395,-50,Greek World,base_model,5
1745,29.184241239414703,22.4055736253995,36.56807730456751,-40,Greek World,base_model,3
1746,58.58737186956092,44.7927119775643,73.7249940776641,-20,Greek World,base_model,6
1747,9.766087809142647,7.433001008662471,12.352737723563653,0,Greek World,base_model,1
1748,9.726124456816589,7.363135346523505,12.346174856623287,20,Greek World,base_model,1
1749,9.6885426951663,7.313032704337533,12.347759867558993,30,Greek World,base_model,1
1750,56.8291142841737,42.47981045985012,72.78237389272353,40,Greek World,base_model,6
1751,27.72299706741076,20.46990716337541,35.780954807347946,50,Greek World,base_model,3
1752,9.496333250097193,7.0692668510323635,12.177590580510369,60,Greek World,base_model,1
1753,9.403631693983337,6.977992678933782,12.06928069164832,70,Greek World,base_model,1
1754,55.77470965947357,41.31792958699034,71.57665153402873,80,Greek World,base_model,6
1755,106.40295992341613,78.22083573312311,137.411090489215,100,Greek World,base_model,12
1756,8.879502723432111,6.565825722278453,11.407836715152186,110,Greek World,base_model,1
1757,17.070095532414808,12.6877092629795,21.848616215709722,130,Greek World,base_model,2
1758,166.99590713805424,124.4576283107264,213.95314275448115,140,Greek World,base_model,20
1759,16.318220533801394,12.21965746030849,20.884682917832134,150,Greek World,base_model,2
1760,7.965257114116519,5.99744970877126,10.120061258874328,160,Greek World,base_model,1
1761,23.311003561052974,17.616622720241683,29.49393508816439,170,Greek World,base_model,3
1762,7.576261401869989,5.7536089550383105,9.51785653045606,180,Greek World,base_model,1
1763,7.384770226419703,5.6315442520279,9.246262948549969,190,Greek World,base_model,1
1764,50.381844654375485,38.62404792504696,62.977167037060276,200,Greek World,base_model,7
1765,14.03106543484016,10.826335933672045,17.492058758813556,210,Greek World,base_model,2
1766,6.840338387508331,5.30687659731158,8.483585160318178,220,Greek World,base_model,1
1767,103.2232237494974,80.71382110208903,127.15158973277389,240,Greek World,base_model,16
1768,6.364390510944901,5.0007987406066325,7.819629001709899,250,Greek World,base_model,1
1769,46.82139440430767,36.763427205320774,57.438321693049126,280,Greek World,base_model,8
1770,5.776133640890392,4.552636999851767,7.0658026695534515,300,Greek World,base_model,1
1771,5.693403930246222,4.476511239789945,6.959252017196747,310,Greek World,base_model,1
1772,11.246373420834612,8.836225922640034,13.726809999035481,320,Greek World,base_model,2
1773,60.74069253371141,47.62056290415235,74.44899716142301,340,Greek World,base_model,11
1774,10.983433477635076,8.624057875087301,13.519196040847612,350,Greek World,base_model,2
1775,5.475294446197396,4.294156000129027,6.770497720495162,370,Greek World,base_model,1
1776,32.94337239879335,25.772892600519345,40.73023688433011,380,Greek World,base_model,6
1777,49.15802072859468,38.078075387467074,61.29391647822271,400,Greek World,base_model,9
1778,5.731419399734806,4.4653347167259465,7.1108643775647105,420,Greek World,base_model,1
1779,71.58031840037688,55.88442132116299,88.93975759545896,440,Greek World,base_model,12
1780,6.109617443981522,4.76696997502118,7.586507277776021,450,Greek World,base_model,1
1781,6.2726550501791305,4.900358159995363,7.783783613663392,460,Greek World,base_model,1
1782,11.908255939924787,9.115282503042373,15.014512487057946,470,Greek World,base_model,2
1783,77.84830755178915,60.729873052695275,97.00950316329734,480,Greek World,base_model,12
1784,21.3265922933278,16.797222532329133,26.40724528145634,500,Greek World,base_model,3
1785,20.090478871186576,15.416083667127472,25.367069287430084,510,Greek World,base_model,3
1786,36.179250564874685,28.12580246650387,45.246485175061956,520,Greek World,base_model,5
1787,23.77624916963222,18.749917112352943,29.402768426011377,530,Greek World,base_model,3
1788,106.00891711685344,83.09300528989522,131.76674314813124,540,Greek World,base_model,13
1789,8.552969945513599,6.7108385662190475,10.608333240795721,550,Greek World,base_model,1
1790,17.777322941436914,13.905899731374774,22.097106891491237,560,Greek World,base_model,2
1791,9.236885376067022,7.201435112712682,11.488063259096679,570,Greek World,base_model,1
1792,9.962389797313442,7.697733891659127,12.469124663665534,590,Greek World,base_model,1
1793,20.668630965786644,15.936554489570831,25.91711170981511,600,Greek World,base_model,2
1794,31.124035523913175,23.6900706280378,39.40040956879236,610,Greek World,base_model,3
1795,54.39808756610663,41.263418658101315,68.80316445242217,620,Greek World,base_model,5
1796,56.223953670455316,42.43161896737103,71.3645308915397,630,Greek World,base_model,5
1797,58.99365130417081,44.534702358222,75.00090714255408,640,Greek World,base_model,5
1798,24.90334611366511,18.59147037350315,31.88451584849075,660,Greek World,base_model,2
1799,25.4785136206088,18.948951353127878,32.63739320870434,670,Greek World,base_model,2
1800,63.964832986816674,47.17895576937424,82.50220359037462,680,Greek World,base_model,5
1801,13.206780730757222,9.750452878047314,16.995165638454942,690,Greek World,base_model,1
1802,52.499260080899134,38.38720499379527,67.79456224666966,700,Greek World,base_model,4
1803,54.24184418927424,40.02237551574964,69.75072002672573,720,Greek World,base_model,4
1804,13.580606809399766,10.040172369115108,17.46138105705107,730,Greek World,base_model,1
1805,13.384593334120373,9.959329312195978,17.17711082550635,760,Greek World,base_model,1
1806,12.882044766830855,9.716127293804522,16.33811476526227,790,Greek World,base_model,1
1807,10.590966367346034,8.316362321407558,13.101145100487688,880,Greek World,base_model,1
1808,20.174308426340716,15.921718524122538,24.885002890091556,900,Greek World,base_model,2
