,region_name,occupations_name,decade,score,count_occupations
9013,Nordic countries,botanist,1850,20,279
9014,Nordic countries,composer,1850,47,472
9015,Nordic countries,drawer,1850,45,377
9016,Nordic countries,historian,1850,29,462
9017,Nordic countries,painter,1850,132,1446
9018,Nordic countries,poet,1850,66,704
9019,Nordic countries,theologian,1850,33,441
9020,Nordic countries,translator,1850,34,468
9021,Nordic countries,university teacher,1850,25,381
9022,Nordic countries,architect,1860,55,486
9023,Nordic countries,botanist,1860,25,279
9024,Nordic countries,composer,1860,55,472
9025,Nordic countries,drawer,1860,45,377
9026,Nordic countries,historian,1860,37,462
9027,Nordic countries,painter,1860,170,1446
9028,Nordic countries,poet,1860,54,704
9029,Nordic countries,theologian,1860,18,441
9030,Nordic countries,translator,1860,53,468
9031,Nordic countries,university teacher,1860,35,381
9032,Nordic countries,architect,1870,77,486
9033,Nordic countries,botanist,1870,36,279
9034,Nordic countries,composer,1870,55,472
9035,Nordic countries,drawer,1870,25,377
9036,Nordic countries,historian,1870,33,462
9037,Nordic countries,painter,1870,140,1446
9038,Nordic countries,poet,1870,48,704
9039,Nordic countries,theologian,1870,27,441
9040,Nordic countries,translator,1870,47,468
9041,Nordic countries,university teacher,1870,34,381
9042,Nordic countries,architect,1880,81,486
9043,Nordic countries,botanist,1880,40,279
9044,Nordic countries,composer,1880,94,472
9045,Nordic countries,drawer,1880,40,377
9046,Nordic countries,historian,1880,60,462
9047,Nordic countries,painter,1880,243,1446
9048,Nordic countries,poet,1880,64,704
9049,Nordic countries,theologian,1880,22,441
9050,Nordic countries,translator,1880,72,468
9051,Nordic countries,university teacher,1880,35,381
9052,Nordic countries,botanist,1200,1,279
9053,Nordic countries,historian,1200,1,462
9054,Nordic countries,poet,1200,1,704
9055,Nordic countries,historian,1440,1,462
9056,Nordic countries,painter,1440,1,1446
9057,Nordic countries,theologian,1440,1,441
9058,Nordic countries,university teacher,1440,1,381
9059,Nordic countries,historian,1520,2,462
9060,Nordic countries,poet,1520,1,704
9061,Nordic countries,theologian,1520,2,441
9062,Nordic countries,translator,1520,2,468
9063,Nordic countries,university teacher,1520,1,381
9064,Nordic countries,historian,1550,1,462
9065,Nordic countries,poet,1550,1,704
9066,Nordic countries,theologian,1550,2,441
9067,Nordic countries,translator,1550,1,468
9068,Nordic countries,university teacher,1550,2,381
9069,Nordic countries,historian,1570,1,462
9070,Nordic countries,poet,1570,2,704
9071,Nordic countries,theologian,1570,6,441
9072,Nordic countries,historian,1610,2,462
9073,Nordic countries,painter,1610,1,1446
9074,Nordic countries,poet,1610,5,704
9075,Nordic countries,theologian,1610,3,441
9076,Nordic countries,university teacher,1610,3,381
9077,Nordic countries,poet,1340,2,704
9078,North America,architect,1660,1,605
9079,North America,explorer,1660,4,472
9080,North America,historian,1660,1,516
9081,North America,architect,1680,1,605
9082,North America,artist,1680,1,463
9083,North America,botanist,1680,1,439
9084,North America,explorer,1680,5,472
9085,North America,historian,1680,1,516
9086,North America,painter,1680,5,1328
9087,North America,poet,1680,3,722
9088,North America,university teacher,1680,1,443
9089,North America,architect,1720,3,605
9090,North America,artist,1720,6,463
9091,North America,botanist,1720,1,439
9092,North America,explorer,1720,2,472
9093,North America,historian,1720,1,516
9094,North America,painter,1720,5,1328
9095,North America,architect,1730,1,605
9096,North America,artist,1730,2,463
9097,North America,botanist,1730,3,439
9098,North America,editor,1730,1,682
9099,North America,explorer,1730,4,472
9100,North America,historian,1730,1,516
9101,North America,painter,1730,2,1328
9102,North America,poet,1730,2,722
9103,North America,architect,1740,2,605
9104,North America,artist,1740,4,463
9105,North America,botanist,1740,3,439
9106,North America,editor,1740,1,682
9107,North America,explorer,1740,7,472
9108,North America,historian,1740,2,516
9109,North America,painter,1740,4,1328
9110,North America,poet,1740,3,722
9111,North America,university teacher,1740,1,443
9112,North America,architect,1750,2,605
9113,North America,artist,1750,1,463
9114,North America,explorer,1750,10,472
9115,North America,painter,1750,1,1328
9116,North America,poet,1750,2,722
9117,North America,architect,1760,3,605
9118,North America,artist,1760,1,463
9119,North America,botanist,1760,2,439
9120,North America,explorer,1760,6,472
9121,North America,historian,1760,2,516
9122,North America,painter,1760,7,1328
9123,North America,poet,1760,3,722
9124,North America,university teacher,1760,2,443
9125,North America,architect,1770,1,605
9126,North America,artist,1770,3,463
9127,North America,botanist,1770,3,439
9128,North America,editor,1770,3,682
9129,North America,explorer,1770,10,472
9130,North America,historian,1770,2,516
9131,North America,painter,1770,7,1328
9132,North America,poet,1770,5,722
9133,North America,university teacher,1770,2,443
9134,North America,architect,1780,4,605
9135,North America,artist,1780,10,463
9136,North America,botanist,1780,5,439
9137,North America,explorer,1780,22,472
9138,North America,historian,1780,2,516
9139,North America,painter,1780,15,1328
9140,North America,poet,1780,10,722
9141,North America,university teacher,1780,6,443
9142,North America,architect,1790,13,605
9143,North America,artist,1790,7,463
9144,North America,botanist,1790,4,439
9145,North America,editor,1790,1,682
9146,North America,explorer,1790,11,472
9147,North America,historian,1790,4,516
9148,North America,painter,1790,21,1328
9149,North America,poet,1790,8,722
9150,North America,architect,1800,11,605
9151,North America,artist,1800,15,463
9152,North America,botanist,1800,6,439
9153,North America,editor,1800,6,682
9154,North America,explorer,1800,17,472
9155,North America,historian,1800,7,516
9156,North America,painter,1800,37,1328
9157,North America,poet,1800,10,722
9158,North America,university teacher,1800,10,443
9159,North America,architect,1810,14,605
9160,North America,artist,1810,14,463
9161,North America,botanist,1810,9,439
9162,North America,editor,1810,8,682
9163,North America,explorer,1810,15,472
9164,North America,historian,1810,8,516
9165,North America,painter,1810,27,1328
9166,North America,poet,1810,11,722
9167,North America,university teacher,1810,12,443
9168,North America,architect,1820,22,605
9169,North America,artist,1820,15,463
9170,North America,botanist,1820,16,439
9171,North America,editor,1820,26,682
9172,North America,explorer,1820,34,472
9173,North America,historian,1820,20,516
9174,North America,painter,1820,62,1328
9175,North America,photographer,1820,3,552
9176,North America,poet,1820,24,722
9177,North America,university teacher,1820,12,443
9178,North America,architect,1830,23,605
9179,North America,artist,1830,26,463
9180,North America,botanist,1830,32,439
9181,North America,editor,1830,48,682
9182,North America,explorer,1830,30,472
9183,North America,historian,1830,26,516
9184,North America,painter,1830,69,1328
9185,North America,photographer,1830,7,552
9186,North America,poet,1830,32,722
9187,North America,university teacher,1830,31,443
9188,North America,architect,1840,52,605
9189,North America,artist,1840,48,463
9190,North America,botanist,1840,46,439
9191,North America,editor,1840,78,682
9192,North America,explorer,1840,45,472
9193,North America,historian,1840,59,516
9194,North America,painter,1840,151,1328
9195,North America,photographer,1840,25,552
9196,North America,poet,1840,70,722
9197,North America,university teacher,1840,38,443
9198,North America,architect,1850,58,605
9199,North America,artist,1850,71,463
9200,North America,botanist,1850,39,439
9201,North America,editor,1850,98,682
9202,North America,explorer,1850,40,472
9203,North America,historian,1850,56,516
9204,North America,painter,1850,175,1328
9205,North America,photographer,1850,57,552
9206,North America,poet,1850,95,722
9207,North America,university teacher,1850,49,443
9208,North America,architect,1860,112,605
9209,North America,artist,1860,62,463
9210,North America,botanist,1860,67,439
9211,North America,editor,1860,155,682
9212,North America,explorer,1860,53,472
9213,North America,historian,1860,93,516
9214,North America,painter,1860,206,1328
9215,North America,photographer,1860,148,552
9216,North America,poet,1860,150,722
9217,North America,university teacher,1860,80,443
9218,North America,architect,1870,97,605
9219,North America,artist,1870,63,463
9220,North America,botanist,1870,85,439
9221,North America,editor,1870,114,682
9222,North America,explorer,1870,45,472
9223,North America,historian,1870,84,516
9224,North America,painter,1870,190,1328
9225,North America,photographer,1870,115,552
9226,North America,poet,1870,120,722
9227,North America,university teacher,1870,80,443
9228,North America,architect,1880,185,605
9229,North America,artist,1880,113,463
9230,North America,botanist,1880,113,439
9231,North America,editor,1880,142,682
9232,North America,explorer,1880,55,472
9233,North America,historian,1880,139,516
9234,North America,painter,1880,341,1328
9235,North America,photographer,1880,197,552
9236,North America,poet,1880,170,722
9237,North America,university teacher,1880,118,443
9238,North America,artist,1710,1,463
9239,North America,botanist,1710,1,439
9240,North America,explorer,1710,7,472
9241,North America,historian,1710,2,516
9242,North America,botanist,1610,1,439
9243,North America,explorer,1610,2,472
9244,North America,poet,1610,1,722
9245,North America,botanist,1690,1,439
9246,North America,explorer,1690,4,472
9247,North America,botanist,1700,1,439
9248,North America,editor,1700,1,682
9249,North America,explorer,1700,6,472
9250,North America,historian,1700,2,516
9251,North America,painter,1700,1,1328
9252,North America,explorer,1600,3,472
9253,North America,explorer,1640,6,472
9254,North America,historian,1640,1,516
9255,North America,painter,1640,1,1328
9256,North America,explorer,1670,5,472
9257,North America,poet,1670,1,722
9258,North America,university teacher,1670,1,443
9259,Northern China,astronomer,-110,1,30
9260,Northern China,historian,-110,1,46
9261,Northern China,mathematician,-110,1,28
9262,Northern China,philosopher,-110,1,40
9263,Northern China,poet,-110,1,144
9264,Northern China,astronomer,-40,2,30
9265,Northern China,historian,-40,1,46
9266,Northern China,mathematician,-40,1,28
9267,Northern China,philosopher,-40,1,40
9268,Northern China,poet,-40,1,144
9269,Northern China,astronomer,160,1,30
9270,Northern China,mathematician,160,1,28
9271,Northern China,astronomer,170,1,30
9272,Northern China,historian,170,1,46
9273,Northern China,astronomer,640,1,30
9274,Northern China,explorer,640,1,22
9275,Northern China,historian,640,1,46
9276,Northern China,mathematician,640,1,28
9277,Northern China,philosopher,640,1,40
9278,Northern China,poet,640,3,144
9279,Northern China,translator,640,1,38
9280,Northern China,astronomer,720,1,30
9281,Northern China,calligrapher,720,1,37
9282,Northern China,mathematician,720,1,28
9283,Northern China,painter,720,1,53
9284,Northern China,poet,720,5,144
9285,Northern China,astronomer,1270,1,30
9286,Northern China,mathematician,1270,1,28
9287,Northern China,astronomer,1570,1,30
9288,Northern China,historian,1570,1,46
9289,Northern China,mathematician,1570,1,28
9290,Northern China,astronomer,1610,2,30
9291,Northern China,explorer,1610,1,22
9292,Northern China,translator,1610,1,38
9293,Northern China,astronomer,1620,1,30
9294,Northern China,explorer,1620,1,22
9295,Northern China,historian,1620,1,46
9296,Northern China,philosopher,1620,1,40
9297,Northern China,astronomer,1630,2,30
9298,Northern China,calligrapher,1630,1,37
9299,Northern China,mathematician,1630,2,28
9300,Northern China,painter,1630,2,53
