,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita,inclusive,restricted
618,1428,France,12.12,190.565127054198,161.77995071044012,221.94503034363223,17.0,1.4073353709363712,13.42262049788954,15.811514910857353,18.415548021467,1761,1,1
619,1429,France,12.16,171.3276627367728,145.56958752895648,199.45232301857197,16.0,1.3184217838288412,12.012917804169067,14.138962308680627,16.46021727686103,1761,1,1
620,1430,France,12.2,152.0901984193476,129.35922434747283,176.9596156935117,15.0,1.2295081967213115,10.603215110448593,12.466409706503901,14.504886532255057,1761,1,1
621,1431,France,12.239999999999998,154.8917759488083,131.80052945502428,180.15789682627778,15.0,1.2256049960967994,10.763308483713155,12.649181225646801,14.712671109356318,1779,1,1
622,1432,France,12.28,157.693353478269,134.2418345625757,183.35617795904386,15.0,1.2217017954722873,10.923401856977717,12.831952744789701,14.92045568645758,1779,1,1
623,1433,France,12.32,160.49493100772966,136.68313967012713,186.55445909180997,15.0,1.2177985948477752,11.083495230242281,13.014724263932601,15.128240263558839,1779,1,1
624,1434,France,12.36,163.29650853719036,139.12444477767855,189.75274022457606,15.0,1.213895394223263,11.243588603506844,13.197495783075501,15.3360248406601,1779,1,1
625,1435,France,12.399999999999999,166.09808606665106,141.56574988523,192.95102135734214,15.0,1.209992193598751,11.403681976771406,13.3802673022184,15.543809417761361,1779,1,1
626,1436,France,12.44,168.89966359611176,144.00705499278143,196.14930249010823,15.0,1.2060889929742389,11.563775350035968,13.5630388213613,15.751593994862622,1779,1,1
627,1437,France,12.48,171.70124112557247,146.44836010033285,199.3475836228743,15.0,1.2021857923497268,11.72386872330053,13.7458103405042,15.959378571963883,1795,1,1
628,1438,France,12.52,174.50281865503314,148.8896652078843,202.54586475564042,15.0,1.1982825917252147,11.883962096565094,13.9285818596471,16.167163149065143,1795,1,1
629,1439,France,12.559999999999999,177.30439618449384,151.3309703154357,205.7441458884065,15.0,1.1943793911007026,12.044055469829656,14.11135337879,16.374947726166404,1795,1,1
630,1440,France,12.6,180.10597371395454,153.77227542298715,208.9424270211726,15.0,1.1904761904761905,12.204148843094218,14.2941248979329,16.582732303267665,1795,1,1
631,1441,France,12.64,248.03558540522982,212.10456427364608,287.3784098129,19.5,1.5329670329670328,16.653696758243075,19.47549772065274,22.565245649390487,1795,1,1
632,1442,France,12.68,315.9651970965051,270.436853124305,365.81439260462736,24.0,1.8754578754578755,21.103244673391934,24.656870543372584,28.54775899551331,1795,1,1
633,1443,France,12.719999999999999,383.89480878778033,328.7691419749639,444.25037539635474,28.5,2.217948717948718,25.55279258854079,29.838243366092428,34.530272341636135,1812,1,1
634,1444,France,12.76,451.8244204790556,387.1014308256228,522.6863581880821,33.0,2.5604395604395602,30.002340503689645,35.019616188812265,40.51278568775895,1812,1,1
635,1445,France,12.8,519.7540321703309,445.4337196762817,601.1223409798095,37.5,2.9029304029304024,34.4518884188385,40.200989011532116,46.49529903388178,1812,1,1
636,1446,France,12.84,587.6836438616061,503.7660085269406,679.5583237715368,42.0,3.2454212454212454,38.90143633398736,45.38236183425195,52.47781238000459,1812,1,1
637,1447,France,12.879999999999999,655.6132555528814,562.0982973775995,757.9943065632642,46.5,3.5879120879120876,43.35098424913622,50.56373465697179,58.46032572612742,1830,1,1
638,1448,France,12.92,723.5428672441567,620.4305862282584,836.4302893549916,51.0,3.9304029304029298,47.80053216428507,55.74510747969164,64.44283907225024,1812,1,1
639,1449,France,12.96,791.4724789354319,678.7628750789173,914.866272146719,55.5,4.272893772893773,52.25008007943393,60.92648030241148,70.42535241837307,1812,1,1
640,1450,France,13.0,859.4020906267073,737.0951639295763,993.3022549384464,60.0,4.615384615384615,56.69962799458279,66.10785312513133,76.40786576449588,1812,1,1
641,1451,France,13.04,799.7701552611667,686.0427206907076,924.2966696703626,56.2,4.3180252583237655,52.72049154990727,61.460371819866715,71.03011204071501,1812,1,1
642,1452,France,13.08,740.1382198956261,634.990277451839,855.2910844022788,52.4,4.020665901262916,48.741355105231754,56.8128905146021,65.65235831693414,1795,1,1
643,1453,France,13.120000000000001,680.5062845300856,583.9378342129703,786.285499134195,48.6,3.723306544202066,44.76221866055623,52.16540920933748,60.27460459315328,1812,1,1
