,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
219,1832,Low countries,6.6899999999999995,3525.2267662734757,3288.7154604473226,3772.7072037497214,450.4,66.69503546099291,486.8603841905708,521.8888467869829,558.5552714089888,re_low_countries,NLD,3417
220,1833,Low countries,6.734999999999999,3875.352116641642,3616.2792497891373,4145.575758524463,494.1,72.54255319148936,530.7763428189097,568.8199318822059,608.5169908861924,re_low_countries,NLD,3341
221,1834,Low countries,6.779999999999999,4225.477467009809,3943.843039130952,4518.444313299203,537.8,78.39007092198582,574.6923014472486,615.7510169774289,658.4787103633957,re_low_countries,NLD,3370
222,1835,Low countries,6.824999999999999,4575.602817377975,4271.406828472767,4891.312868073944,581.5,84.23758865248227,618.6082600755876,662.682102072652,708.4404298405993,re_low_countries,NLD,3360
223,1836,Low countries,6.87,4925.7281677461415,4598.970617814582,5264.181422848685,625.2,90.08510638297872,662.5242187039265,709.613187167875,758.4021493178028,re_low_countries,NLD,3472
224,1837,Low countries,6.915,5275.853518114309,4926.534407156396,5637.049977623425,668.9000000000001,95.93262411347519,706.4401773322654,756.544272263098,808.3638687950063,re_low_countries,NLD,3553
225,1838,Low countries,6.96,5625.978868482474,5254.098196498211,6009.918532398166,712.6,101.78014184397163,750.3561359606044,803.4753573583212,858.3255882722098,re_low_countries,NLD,3590
226,1839,Low countries,7.005,5976.104218850642,5581.661985840026,6382.7870871729065,756.3,107.62765957446808,794.2720945889434,850.4064424535442,908.2873077494132,re_low_countries,NLD,3588
227,1840,Low countries,7.05,6326.229569218808,5909.225775181841,6755.655641947647,800.0,113.47517730496455,838.1880532172823,897.3375275487672,958.2490272266167,re_low_countries,NLD,3623
228,1841,Low countries,7.095,6393.93840582564,5971.668327519653,6830.023413367422,804.0,113.32765957446809,841.4845985430203,900.9813472643855,962.415235919227,re_low_countries,NLD,3658
229,1842,Low countries,7.14,6461.647242432472,6034.110879857465,6904.391184787198,808.0,113.18014184397164,844.7811438687582,904.6251669800039,966.5814446118372,re_low_countries,NLD,3569
230,1843,Low countries,7.185,6529.356079039305,6096.553432195277,6978.7589562069725,812.0,113.03262411347518,848.0776891944962,908.2689866956222,970.7476533044476,re_low_countries,NLD,3507
