,region,decade,count_cps,N_est,lower,upper
485,Chinese world,1210,2,6.14277062193417,5.479528445038577,6.829548260112439
482,Chinese world,1170,2,7.131945602466702,6.290503808823437,8.03827205894233
415,Chinese world,290,2,5.884717685769493,4.906497602332011,6.938612753788835
416,Chinese world,300,2,5.196620340415983,4.362425914765999,6.1020323769636375
481,Chinese world,1150,2,7.766038098958385,6.812805317686236,8.782079312111634
480,Chinese world,1140,2,7.646046189809455,6.695074197806624,8.661657545594723
402,Chinese world,160,2,6.142109018939221,4.907316314394423,7.531882651444277
381,Chinese world,-350,2,10.203157673031708,8.171979320741302,12.470590829857308
386,Chinese world,-230,2,9.360537913214287,7.31115610267909,11.67908666852182
389,Chinese world,-140,2,9.269923625507085,7.178624515341986,11.525304603569955
397,Chinese world,60,2,8.275549026405809,6.471596620256731,10.2571224691389
409,Chinese world,230,2,5.952124051645936,4.912961121302859,7.112272965224543
410,Chinese world,240,2,6.515355907117097,5.364666182870178,7.795197449405176
504,Chinese world,1420,2,17.418610246752596,15.068897835346416,19.876651326216273
432,Chinese world,520,2,6.544554940619834,5.413783969779388,7.7564955007772
441,Chinese world,640,2,11.138943557503,8.704653498085333,13.824988524667589
379,Chinese world,-400,2,7.998021748059214,6.381517701114476,9.778092119524617
462,Chinese world,930,2,5.846998827566061,5.037306196239916,6.697436739967807
470,Chinese world,1020,2,5.159571293214438,4.486926647243591,5.874225659392139
453,Chinese world,800,2,11.498288045016391,9.131968923191367,13.956613661846085
455,Chinese world,820,2,10.991261223882244,8.846695441615058,13.19094031279285
458,Chinese world,880,2,6.561071075165278,5.561222951800215,7.594556023420546
465,Chinese world,960,2,7.761752393599174,6.597608701819411,8.97943830857568
466,Chinese world,970,2,5.435505774800231,4.713257507557045,6.20111105469261
468,Chinese world,990,2,7.394909858825268,6.298583334480805,8.55662290433074
469,Chinese world,1000,2,5.236558072967719,4.545178061092022,5.964386747683161
442,Chinese world,670,2,11.970047031505077,9.254364785583276,14.949198620467
472,Chinese world,1050,2,7.120759224944241,6.102901325731575,8.203805153258374
446,Chinese world,730,2,12.592871061769838,9.68523169557704,15.66640390339856
450,Chinese world,770,2,12.13926379412349,9.463298952552456,14.945838583144836
507,Chinese world,1450,2,10.910933480268437,9.705756845709418,12.150453449099077
377,Chinese world,-460,2,9.21378110203274,7.2588942937032925,11.356367119163826
443,Chinese world,680,1,6.093267162494302,4.697851840987493,7.616613005700262
426,Chinese world,400,1,2.2124922626310157,1.8613451696027212,2.600637505582755
428,Chinese world,460,1,2.4275373838499887,2.037194577070541,2.861821600257944
429,Chinese world,470,1,3.1516497175770097,2.6009227021019026,3.739959055377168
433,Chinese world,530,1,3.810635382476319,3.125154505191511,4.527073467527633
435,Chinese world,560,1,4.247719741626055,3.4607019966123733,5.088796932934549
436,Chinese world,570,1,4.406262948635752,3.566332452251466,5.304467464501023
438,Chinese world,600,1,4.906347264277907,3.91937065977726,5.9867612865345325
439,Chinese world,610,1,5.076372286063426,4.038585110925717,6.228211203523618
440,Chinese world,620,1,5.245051594412072,4.14656070910297,6.460844204224308
444,Chinese world,700,1,6.2469677153766,4.801773209626638,7.814908056088795
448,Chinese world,750,1,6.218774971204834,4.810065122001379,7.695883907092622
454,Chinese world,810,1,5.625037007800545,4.493477433969534,6.792385345381795
457,Chinese world,850,1,5.093118390047826,4.176102355565736,6.044967371987823
463,Chinese world,940,1,1.6855437414110437,1.5209755895969763,1.8640681727904744
474,Chinese world,1070,1,4.560766385048553,3.7780452445456696,5.403653726345337
477,Chinese world,1100,1,1.5800339626831112,1.4495528151182029,1.7200612663630337
479,Chinese world,1130,1,1.6126418641443625,1.482920196629713,1.7531275853561312
423,Chinese world,370,1,2.7356089202026297,2.2722082444870617,3.2545824528305807
420,Chinese world,340,1,2.766101301319316,2.303023254170009,3.267767842066076
419,Chinese world,330,1,2.789328980437272,2.3277560635169934,3.291855730087646
418,Chinese world,320,1,2.2464787402403825,1.902654828916449,2.6171092851476434
393,Chinese world,-40,1,3.649396885768865,2.9323087636600667,4.419774519710995
382,Chinese world,-280,1,4.8284538398035455,3.835387030818593,5.925838295857821
383,Chinese world,-270,1,4.793508115957251,3.79257503280787,5.902115896836343
384,Chinese world,-260,1,4.760893441336112,3.757922678683661,5.873946585354048
385,Chinese world,-240,1,4.7039746109974185,3.683658439725922,5.857323857254798
387,Chinese world,-220,1,3.572709879435592,2.8111072573592826,4.421355488635809
388,Chinese world,-190,1,4.623626681652167,3.5754514530114254,5.786808286178094
390,Chinese world,-130,1,4.644769832932863,3.611287494958919,5.768951344117481
391,Chinese world,-110,1,18.007548721037388,13.209865932015049,23.131549957905687
392,Chinese world,-50,1,4.754431530866903,3.788828470399461,5.808939768171306
394,Chinese world,-20,1,4.783122901029779,3.80816216820855,5.847343274554974
378,Chinese world,-410,1,5.264055875100228,4.151301205482498,6.480337685141492
396,Chinese world,0,1,4.787995319435849,3.7972162121058544,5.872316774408305
398,Chinese world,70,1,4.644627143713748,3.602460983448935,5.784989626931727
399,Chinese world,100,1,4.476950832093799,3.466474364547349,5.6052338792992575
400,Chinese world,110,1,4.404782491580605,3.406613136941259,5.509427617504418
403,Chinese world,170,1,3.870928048314713,3.0732932083127555,4.7625708889009735
404,Chinese world,180,1,3.7764214365271593,3.009975121632243,4.62643161085252
405,Chinese world,190,1,3.683050053301252,2.953402347569925,4.499645675607352
411,Chinese world,250,1,3.184523001113661,2.6310890198041945,3.791672776479426
417,Chinese world,310,1,1.3799649053231466,1.2634674066467184,1.508941767992648
380,Chinese world,-360,1,5.137977615718151,4.102046664189445,6.283783780537914
376,Chinese world,-470,1,5.19673691797014,4.078063576482163,6.413375926701467
375,Chinese world,-490,1,5.105369472990001,3.983425995245011,6.34314615048429
374,Chinese world,-680,1,3.140997491048564,1.7859952854864576,4.82737027327478
