,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
309,1851,Nordic countries,2.477899999997631,7336.418206110289,6774.701184666815,7922.599593672277,684.5,19.0,276.1463839677244,2733.010230922444,2959.5860763996407,3196.0378367349063,re_nordic_countries,SWE,1682
310,1852,Nordic countries,2.48079999999794,7619.055196152765,7029.395738955823,8232.521217080217,708.0,19.0,285.2220608644528,2831.674348558076,3069.159540243546,3316.2461905314,re_nordic_countries,SWE,1645
311,1853,Nordic countries,2.4836999999982488,7901.692186195241,7284.090293244832,8542.442840488156,731.5,19.0,294.2977377611812,2930.338466193708,3178.7330040874513,3436.454544327893,re_nordic_countries,SWE,1667
312,1854,Nordic countries,2.4865999999985577,8184.329176237717,7538.78484753384,8852.364463896096,755.0,19.0,303.3734146579096,3029.0025838293404,3288.306467931357,3556.6628981243866,re_nordic_countries,SWE,1685
313,1855,Nordic countries,2.4894999999988663,8466.966166280192,7793.479401822849,9162.286087304035,778.5,19.0,312.449091554638,3127.666701464973,3397.879931775263,3676.87125192088,re_nordic_countries,SWE,1788
314,1856,Nordic countries,2.492399999999175,8749.603156322668,8048.1739561118575,9472.207710711975,802.0,19.0,321.52476845136647,3226.330819100605,3507.453395619168,3797.079605717373,re_nordic_countries,SWE,1771
315,1857,Nordic countries,2.495299999999484,9032.240146365144,8302.868510400865,9782.129334119914,825.5,19.0,330.60044534809487,3324.994936736237,3617.0268594630734,3917.2879595138666,re_nordic_countries,SWE,1819
316,1858,Nordic countries,2.4981999999997924,9314.87713640762,8557.563064689873,10092.050957527854,849.0,19.0,339.6761222448233,3423.6590543718694,3726.600323306979,4037.4963133103597,re_nordic_countries,SWE,1841
317,1859,Nordic countries,2.5011000000001014,9597.514126450096,8812.257618978883,10401.972580935793,872.5,19.0,348.7517991415517,3522.323172007502,3836.173787150885,4157.704667106853,re_nordic_countries,SWE,1906
318,1860,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1941
