region_code,region_code_atlas,year,value
re_german_world,AUS,1 000,"0,70"
re_german_world,AUS,1 100,"0,90"
re_german_world,AUS,1 200,"1,25"
re_german_world,AUS,1 300,"2,00"
re_german_world,AUS,1 400,"1,25"
re_german_world,AUS,1 500,"2,00"
re_german_world,AUS,1 600,"2,50"
re_german_world,AUS,1 650,"2,25"
re_german_world,AUS,1 700,"2,50"
re_german_world,AUS,1 750,"2,75"
re_german_world,AUS,1 800,"3,00"
re_german_world,AUS,1 850,"4,00"
re_german_world,SWI,600,"0,30"
re_german_world,SWI,700,"0,30"
re_german_world,SWI,800,"0,30"
re_german_world,SWI,900,"0,30"
re_german_world,SWI,1 000,"0,30"
re_german_world,SWI,1 100,"0,40"
re_german_world,SWI,1 200,"0,50"
re_german_world,SWI,1 300,"0,80"
re_german_world,SWI,1 400,"0,60"
re_german_world,SWI,1 500,"0,80"
re_german_world,SWI,1 600,"1,00"
re_german_world,SWI,1 650,"1,00"
re_german_world,SWI,1 700,"1,25"
re_german_world,SWI,1 750,"1,50"
re_german_world,SWI,1 800,"1,75"
re_german_world,SWI,1 850,"2,50"
re_germany,GER,100,"3,25"
re_germany,GER,200,"3,50"
re_germany,GER,300,"3,50"
re_germany,GER,400,"3,50"
re_germany,GER,500,"3,25"
re_germany,GER,600,"3,00"
re_germany,GER,700,"3,00"
re_germany,GER,800,"3,25"
re_germany,GER,900,"3,38"
re_germany,GER,1 000,"3,50"
re_germany,GER,1 100,"4,00"
re_germany,GER,1 200,"6,00"
re_germany,GER,1 300,"9,00"
re_germany,GER,1 400,"6,50"
re_germany,GER,1 500,"9,00"
re_germany,GER,1 600,"12,00"
re_germany,GER,1 650,"11,00"
re_germany,GER,1 700,"13,00"
re_germany,GER,1 750,"15,00"
re_germany,GER,1 800,"18,00"
re_germany,GER,1 850,"27,00"
re_greece,GRE,-800,"0,80"
re_greece,GRE,-700,"1,00"
re_greece,GRE,-600,"1,50"
re_greece,GRE,-500,"2,00"
re_greece,GRE,-400,"2,50"
re_greece,GRE,-300,"3,00"
re_greece,GRE,-200,"2,20"
re_greece,GRE,-100,"2,25"
re_greece,GRE,0,"2,00"
re_greece,GRE,100,"2,00"
re_greece,GRE,200,"2,00"
re_greece,GRE,300,"1,75"
re_greece,GRE,400,"1,50"
re_greece,GRE,500,"1,15"
re_greece,GRE,600,"0,80"
re_greece,GRE,700,"0,70"
re_greece,GRE,800,"0,80"
re_greece,GRE,900,"0,90"
re_greece,GRE,1 000,"1,00"
re_greece,GRE,1 100,"1,10"
re_greece,GRE,1 200,"1,20"
re_greece,GRE,1 300,"1,25"
re_greece,GRE,1 400,"0,90"
re_greece,GRE,1 500,"1,00"
re_greece,GRE,1 600,"1,50"
re_greece,GRE,1 700,"1,50"
re_greece,GRE,1 800,"2,50"
re_greece,GRE,1 850,"3,00"
re_greek_world,HEL,-800,"0,80"
re_greek_world,HEL,-700,"1,00"
re_greek_world,HEL,-600,"2,00"
re_greek_world,HEL,-500,"3,50"
re_greek_world,HEL,-400,"5,75"
re_greek_world,HEL,-300,"8,25"
re_greek_world,HEL,-200,"16,65"
re_greek_world,HEL,-100,"16,80"
re_greek_world,HEL,0,"20,40"
re_greek_world,HEL,100,"22,90"
re_greek_world,HEL,200,"22,90"
re_greek_world,HEL,300,"18,40"
re_greek_world,HEL,400,"16,70"
re_greek_world,HEL,500,"14,70"
re_greek_world,HEL,600,"12,95"
re_greek_world,YUG,600,"1,25"
re_greek_world,YUG,1 000,"1,75"
re_greek_world,YUG,1 300,"2,25"
re_greek_world,YUG,1 500,"2,25"
re_greek_world,BUL,600,"0,50"
re_greek_world,BUL,1 000,"0,80"
re_greek_world,BUL,1 300,"1,00"
re_greek_world,BUL,1 500,"0,80"
re_greek_world,GRE,600,"0,80"
re_greek_world,GRE,700,"0,70"
re_greek_world,GRE,800,"0,80"
re_greek_world,GRE,900,"0,90"
re_greek_world,GRE,1 000,"1,00"
re_greek_world,GRE,1 100,"1,10"
re_greek_world,GRE,1 200,"1,20"
re_greek_world,GRE,1 300,"1,25"
re_greek_world,GRE,1 400,"0,90"
re_greek_world,GRE,1 500,"1,00"
re_greek_world,GRE,1 600,"1,50"
re_greek_world,GRE,1 700,"1,50"
re_greek_world,GRE,1 800,"2,50"
re_greek_world,GRE,1 850,"3,00"
re_greek_world,TUR_EUR,600,"0,30"
re_greek_world,TUR_EUR,1 000,"0,30"
re_greek_world,TUR_EUR,1 500,"0,30"
re_greek_world,ROM,600,"0,50"
re_greek_world,ROM,800,"0,60"
re_greek_world,ROM,1 000,"0,80"
re_greek_world,ROM,1 200,"1,00"
re_greek_world,ROM,1 300,"1,50"
re_greek_world,ROM,1 400,"1,25"
re_iceland,ICE,800,"0,00"
re_iceland,ICE,900,"0,03"
re_iceland,ICE,1 000,"0,05"
re_iceland,ICE,1 100,"0,07"
re_iceland,ICE,1 200,"0,07"
re_iceland,ICE,1 300,"0,07"
re_iceland,ICE,1 400,"0,06"
re_iceland,ICE,1 500,"0,06"
re_iceland,ICE,1 600,"0,05"
re_iceland,ICE,1 700,"0,05"
re_iceland,ICE,1 800,"0,05"
re_indian_world,IND,-4 000,"1,00"
re_indian_world,IND,-500,"25,00"
re_indian_world,IND,-400,"27,00"
re_indian_world,IND,-300,"29,00"
re_indian_world,IND,-200,"31,00"
re_indian_world,IND,-100,"33,00"
re_indian_world,IND,0,"35,00"
re_indian_world,IND,100,"38,00"
re_indian_world,IND,200,"41,00"
re_indian_world,IND,300,"44,00"
